Julia Roberts
Juliette Lewis
Annie Mumolo
Kathryn Hahn
Vera Farmiga
Kristen Wiig
Grey DeLisle
Rose McGowan
Shannon Elizabeth
Bridgette Wilson
Erin Daniels
Sydney Tamiia Poitier
Holly Marie Combs
Tyra Banks
Leila Arcieri
Tiffany Thiessen
Amber Valletta
Elizabeth Banks
Bonnie Somerville
Cara Buono
Eva Mendes
Jenna Fischer
Grace Park (actress)
Laura Allen
Alyson Hannigan
Lark Voorhies
Marley Shelton
Ivana Miličević
Fairuza Balk
A. J. Langer
Maggie Siff
Lecy Goranson
Robinne Lee
Hilary Swank
Kent King
Ever Carradine
Natasha Henstridge
Amy Adams
Melinda Page Hamilton
Jennifer Lien
Clare Kramer
Jackie Sandler
Joy Bryant
Nana Bryant
Tamala Jones
Leslie Bibb
Chloë Sevigny
Sarah Paulson
Marissa Ribisi
Maria Dizzia
Danica McKellar
Jill Marie Jones
Sara Gilbert
Drew Barrymore
Chelsea Handler
Jolene Blalock
Eva Longoria
Tara Buck
Natalie Zea
Sutton Foster
Anne Dudek
Heather Burns
Christina Hendricks
Andrea Anders
Nicki Aycox
Angelina Jolie
Staci Keanan
Elizabeth Reaser
Solange Knowles
Linda Cardellini
Judy Greer
Annie Parisse
Charlize Theron
Alicia Witt
Cindy Valentine
Sara Ramirez
Moon Bloodgood
Alanna Ubach
Monica Rial
Kellie Martin
Maria Thayer
Tara Reid
Paula Patton
Mayim Bialik
Milla Jovovich
Alexie Gilmore
Lori Beth Denberg
Erica Leerhsen
Janet Varney
Kelly Carlson
Tamara Mello
Rashida Jones
Ali Larter
Brittany Daniel
Reese Witherspoon
Keri Russell
Michelle Monaghan
Amy Smart
Jessica Cauffiel
Candace Cameron Bure
Susan Ward
Monet Mazur
Melissa Joan Hart
Rochelle Aytes
Cassidy Rae
Heather Mazur
Dagmara Dominczyk
Vinessa Shaw
Melissa George
Soleil Moon Frye
Tawny Cypress
Jessica Capshaw
Shar Jackson
Faune Chambers
Danielle Bisutti
Alicia Silverstone
Emily Deschanel
Holly Fields
Jennifer Sky
Piper Perabo
Maia Campbell
Anna Faris
Amy Acker
Lindsay Price
Tammy Blanchard
Amber Benson
Kerry Washington
Maitland Ward
Audrey Quock
Bree Turner
Jessica Chastain
Bianca Kajlich
Jamie Anne Allman
Sarah Michelle Gellar
Alexandra Holden
Jenna von Oÿ
Rebecca Herbst
Lynn Collins
Angela Goethals
Danielle Harris
Sarah Wayne Callies
Navi Rawat
Liza Weil
Liv Tyler
Ashley Scott
Lana Parrilla
Erin Cummings
Jaime Pressly
Lindsay Sloane
Adrienne Wilkinson
Jaqueline Fleming
Clea DuVall
Jamie Marchi
Kiele Sanchez
Maggie Gyllenhaal
Katherine Moennig
January Jones
Kristen Schaal
Kelly Stables
Kelly Sullivan (actress)
Danai Gurira
Lauren Ambrose
Alicia Leigh Willis
Kimberly McCullough
Brooke Burns
Nicholle Tom
Malin Åkerman
Ginnifer Goodwin
Nikki Cox
Maria Menounos
Michaela Conlin
Zoe Saldana
Courtney Ford
Tamera Mowry
Tia Mowry
Linda Park
Michelle Rodriguez
Natashia Williams
Countess Vaughn
Michelle Borth
Beth Riesgraf
Kelly Overton (actress)
Nichole Hiltz
Daniella Alonso
Keri Lynn Pratt
Katie Aselton
Shannyn Sossamon
Dana Davis
Jodi Lyn O'Keefe
Wynn Everett
Taryn Manning
Eve (rapper)
Nadine Velazquez
Katherine Heigl
Aimee Garcia
Lauren German
Shiri Appleby
Katie Holmes
Amanda Swisten
Estella Warren
Tatyana Ali
Christine Lakin
Sara Rue
Gloria Votsis
Brandy Norwood
Mena Suvari
Jennifer Love Hewitt
Riki Lindhome
Danneel Harris
Bianca Lawson
Lake Bell
Natasha Lyonne
Keisha Knight-Pulliam
Claire Danes
Jennifer Morrison
Kate Hudson
Jaime King
Rosario Dawson
Nicole Leach
Maggie Q
Elisabeth Harnois
Monica Keena
Zulay Henao
Mindy Kaling
Busy Philipps
Felicia Day
Jayma Mays
Marin Ireland
Ariana Richards
Cameron Richardson
Amy Davidson
Alison Lohman
Rachael Leigh Cook
Kristanna Loken
Jaci Velasquez
Deanna Russo
Kristina Anapau
Dania Ramirez
Sarah Sokolovic
Tiffany Haddish
Jennifer Carpenter
Erin Cahill
June Diane Raphael
Rachel Nichols (actress)
Sarah Shahi
Zooey Deschanel
Margarita Levieva
Sarah Lancaster
Christina Ricci
Katherine Waterston
Laura Prepon
Fiona Gubelmann
Bijou Phillips
Collette Wolfe
Katee Sackhoff
Kelli Giddish
Colleen Clinkenbeard
Katherine Bailess
Jordana Brewster
Marnette Patterson
Minka Kelly
Shannon Lucio
Olivia Munn
Jessica Simpson
Kristen Connolly
Kristen Bell
Michelle Williams (singer)
Rachel Miner
Maggie Lawson
Dominique Swain
Michelle Williams (actress)
Autumn Reeser
Ashanti (singer)
Casey Wilson
Samaire Armstrong
Vanessa Lachey
Monique Coleman
Jessica Bowman
Janina Gavankar
Anna Chlumsky
Jenna Dewan
Christina Aguilera
Marla Sokoloff
Vanessa Ferlito
Eliza Dushku
Genevieve Padalecki
Beverley Mitchell
Carrie Coon
Alicia Keys
Emily Rose (actress)
Nora Zehetner
Sara Michael Foster
Kelly Rowland
Paris Hilton
Bryce Dallas Howard
Tiffany Dupont
Julia Stiles
Katy Mixon
Bethany Joy Lenz
Jessica Alba
Rose Rollins
Danielle Fishel
Jamie-Lynn Sigler
Amy Schumer
Larisa Oleynik
Natalie Portman
Alisan Porter
Summer Glau
Abigail Spencer
Meghan Markle
Meagan Good
Rachel Bilson
Beyoncé Knowles
Jennifer Hudson
Alexis Bledel
Christina Milian
Melissa Claire Egan
Brea Grant
Fiona Dourif
Jocelin Donahue
Azura Skye
Christina Vidal
Britney Spears
Liza Lapira
Krysten Ritter
Lauren Cohan
Gaby Hoffmann
Jodie Sweetin
Shawna Waldron
Bridget Regan
Jessica Biel
Thora Birch
Jenny Slate
Chyler Leigh
Gina Carano
Cassandra Lee Morris
Kirsten Dunst
Rebecca Hall
Rachel Boston
Alexandra Breckenridge
Sanoe Lake
Fryda Wolff
Alexa Davalos
Whitney Able
Lizzy Caplan
Hilarie Burton
Sophia Bush
Schuyler Fisk
Elisabeth Moss
Brit Marling
Jes Macallan
Erika Christensen
LeAnn Rimes
Zoe Lister-Jones
Anna Camp
Lacey Chabert
Anne Hathaway
Laura Ramsey
Yaya DaCosta
Nicki Minaj
Alison Brie
Kate Bosworth
Emily Blunt
Kate Mara
Carrie Underwood
Amanda Righetti
Diora Baird
Jamie Chung
Ari Graynor
Gabourey Sidibe
Adrianne Palicki
Amber Tamblyn
Leelee Sobieski
Olivia Hack
Laura Post
Mamie Gummer
Greta Gerwig
Ashley Johnson (actress)
Mila Kunis
Maggie Grace
Tessa Thompson
Cecily Strong
Brina Palencia
Noureen DeWulf
Olivia Wilde
Jaimie Alexander
Christy Carlson Romano
Sara Jean Underwood
Katharine McPhee
Mandy Moore
Kelli Garner
America Ferrera
Jillian Bell
Melonie Diaz
Taylor Cole
Kerry Bishé
Jillian Murray
Torrey DeVitto
Caroline D'Amore
Aubrey Plaza
Vanessa Lee Chester
Alexis Dziena
Natalie Martinez
Kaitlin Doubleday
Taylor Schilling
Gina Rodriguez
Savannah Welch
Sarah Roemer
Paz de la Huerta
Afton Williamson
Sabrina Bryan
Ahna O'Reilly
Kate French
Brooke Valentine
Kimberly J. Brown
Jena Malone
Scarlett Johansson
Mary Elizabeth Winstead
Lauren London
Xosha Roquemore
Shannon Woodward
Nicole Beharie
Crystal Reed
Deborah Ann Woll
Tina Majorino
Arielle Kebbel
Haylie Duff
Eva Amurri
Rooney Mara
Drew Sidora
Odette Annable
Ashley Tisdale
Shantel VanSanten
Anna Kendrick
Cristin Milioti
Kayla Ewell
Lilan Bowden
Alyssa Diaz
Madeline Zima
Tanisha Harper
Michelle Trachtenberg
Masiela Lusha
Ciara
Troian Bellisario
Elizabeth Rice
Haley Webb
Kaley Cuoco
Gia Crovatin
Amanda Seyfried
Raven-Symoné
Beth Behrs
Mischa Barton
Alice Greczyn
Margo Harshman
Brittany Snow
Alexandra Daddario
Olesya Rulin
Lady Gaga
Amanda Bynes
Leighton Meester
Amber Heard
Jenna Ushkowitz
Dianna Agron
Grace Gummer
Megan Fox
Louisa Krause
Molly Ephraim
Ashley Bell (actress)
Kat Dennings
Ashley Olsen
Mary-Kate Olsen
Haley Hudson
Dreama Walker
Lindsay Lohan
Kiely Williams
Peyton List (actress, born 1986)
Ashley Spillers
Cassie Ventura
Lea Michele
Emmy Rossum
Kyla Pratt
Kaylee DeFer
Camilla Belle
Kali Hawk
Olivia Thirlby
Amber Stevens
Holland Roden
Jessica Stroup
Briana Evigan
Ashley Fink
Katie Cassidy
Vanessa Zima
Caity Lotz
Shelley Hennig
Kristin Cavallari
Lyndsy Fonseca
Ashley Greene
Josie Loren
Abby Walker
Brooklyn Decker
Samira Wiley
Candice Accola
Jessica Rothe
Meredith Hagner
Bresha Webb
Cristina Vee
AnnaLynne McCord
Kira Buckland
Mara Wilson
Blake Lively
Evan Rachel Wood
Danielle Panabaker
Hilary Duff
Haley Bennett
Maiara Walsh
Tania Raymonde
Brenda Song
Allison Williams (actress)
Sara Paxton
Brooke Hogan
Nikki Reed
Awkwafina
Mae Whitman
Cody Horn
Portia Doubleday
Summer Bishil
Julianne Hough
Francia Raisa
Laura Slade Wiggins
Leah Pipes
Rumer Willis
Alexa Vega
Chelsea Kane
Katrina Bowden
Melissa Benoist
Janel Parrish
Emma Stone
Lio Tipton
Nikki Blonsky
Scarlett Pomers
Zoë Kravitz
Ashley Hinshaw
Vanessa Hudgens
Emily Meade
Yvonne Zima
Elizabeth Olsen
Scout Taylor-Compton
Abby Wilde
Daniella Monet
Caitlin Wachs
Lily Collins
Aly Michalka
Alia Shawkat
Lindsey Shaw
Olivia Luccardi
Riley Keough
Logan Browning
Lucy Hale
Courtney Halverson
Renee Olstead
Shareeka Epps
Jasmine Cephas Jones
Zelda Williams
Alexis Knapp
Sarah E. Daniels
Hayden Panettiere
Katerina Graham
Brie Larson
Dakota Johnson
Aimee Teegarden
Katelyn Tarver
Taylor Swift
Ashley Benson
Jordin Sparks
Melissa Bolona
Camille Winbush
Andrea Bowen
Rainey Qualley
Cassie Scerbo
Kristen Stewart
Lorraine Nicholson
Gia Mantegna
Britt Robertson
Kay Panabaker
Leven Rambin
Tristin Mays
Daveigh Chase
Bianca Santos
Jennifer Lawrence
Nicole Gale Anderson
Christian Serratos
Allison Scagliotti
Lola Kirke
Carly Schroeder
Sarah Hyland
JoJo (singer)
Erin Sanders
Emma Roberts
Madelyn Deutch
Hayley Kiyoko
Jamie Lynn Spears
AJ Michalka
Emily Ratajkowski
Willa Holland
Addison Timlin
Alexandra Shipp
Christa B. Allen
Shailene Woodley
Shanley Caswell
Sofia Black-D'Elia
Chloe Bridges
Karle Warren
Greer Grammer
Meaghan Jette Martin
Emily Osment
Ashley Rickards
Olivia Olson
Kate Upton
Jennette McCurdy
Holliston Coleman
Billie Lourd
Selena Gomez
Hallie Eisenberg
Sofia Vassilieva
Lexi Ainsworth
Vanessa Marano
Miley Cyrus
Bridgit Mendler
Ashley Argota
Morgan York
Jennifer Stone
Victoria Justice
Jenna Boyd
Halston Sage
Debby Ryan
Miranda Cosgrove
Maika Monroe
Beanie Feldstein
Ariana Grande
Raini Rodriguez
Elizabeth Gillies
Taylor Momsen
Alyson Stoner
Keke Palmer
Gage Golightly
Molly Quinn
AnnaSophia Robb
Kiersey Clemons
Lucy Boynton
Julia Garner
Makenzie Vega
Dakota Fanning
Sierra McClain
Liliana Mumy
Jaz Sinclair
Margaret Qualley
Morgan Saylor
Allie DeBerry
Zoey Deutch
Samantha Boscarino
Natalia Dyer
Danielle Campbell
Madisen Beaty
Cierra Ramirez
Virginia Gardner
Liana Liberato
Sammi Hanratty
Sasha Lane
Katherine McNamara
Laura Marano
Sami Gayle
Sasha Pieterse
Madeline Carroll
Abigail Breslin
Brittany O'Grady
Brianna Hildebrand
Zendaya
Grace Van Patten
Stefanie Scott
Hailee Steinfeld
Kaitlyn Dever
Kathryn Newton
Chloë Grace Moretz
Isabelle Fuhrman
Odeya Rush
Elena Kampouris
Jayme Lawson
Bella Thorne
Sierra McCormick
Ariel Winter
Peyton List (actress, born 1998)
Elle Fanning
Madison Pettis
China Anne McClain
Amandla Stenberg
Sabrina Carpenter
Joey King
Bailee Madison
Yara Shahidi
Morgan Lily
Willow Smith
Jade Pettyjohn
Isabela Moner
Emma Fuhrmann
Rowan Blanchard
Sophia Lillis
Skai Jackson
Oona Laurence
Nikki Hahn
Storm Reid
Quvenzhané Wallis
Brooklyn Nelson
Ella Jay Basco
Scarlett Estevez
YaYa Gosselin
Hala Finley
